Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,4,1,999991,8,1,1323200
1,2,0,999989,10,1,584600
2,1,0,999988,11,1,578900
3,3,1,999985,13,2,407400
4,3,0,999983,15,2,403900
5,6,1,999977,20,3,400600
6,6,0,999971,26,3,309800
7,3,3,999967,27,6,290900
8,7,1,999960,33,7,289000
9,5,2,999956,35,9,299100
10,5,2,999952,37,11,351700
11,3,4,999947,38,15,293200
12,4,0,999944,41,15,295000
13,4,1,999939,45,16,291800
14,10,1,999930,53,17,287800
15,7,3,999923,57,20,302200
16,9,4,999914,62,24,491600
17,12,4,999903,69,28,468800
18,8,4,999894,74,32,423200
19,6,2,999887,79,34,392400
20,10,4,999878,84,38,510500
21,12,6,999866,90,44,368900
22,18,6,999852,98,50,370700
23,14,3,999833,114,53,485300
24,14,3,999819,125,56,363200
25,14,7,999807,130,63,306400
26,8,3,999798,136,66,360100
27,9,8,999790,136,74,352200
28,14,7,999775,144,81,386700
29,17,13,999758,148,94,347400
30,17,6,999742,158,100,364100
31,18,6,999723,171,106,326000
32,20,12,999703,179,118,325000
33,16,11,999688,183,129,333400
34,15,14,999672,185,143,322600
35,10,13,999662,182,156,374400
36,18,8,999644,192,164,311600
37,15,12,999629,195,176,329400
38,20,15,999611,198,191,310000
39,22,9,999591,209,200,326700
40,19,12,999569,219,212,351900
41,21,8,999548,232,220,339300
42,28,16,999522,242,236,337700
43,25,10,999496,258,246,455000
44,23,17,999472,265,263,347800
45,22,14,999449,274,277,350600
46,21,19,999428,276,296,331900
47,24,18,999406,280,314,350200
48,31,20,999375,291,334,331900
49,26,13,999352,301,347,316500
50,22,14,999327,312,361,291700
51,32,14,999295,330,375,283700
52,31,18,999266,341,393,308300
53,39,18,999229,360,411,328400
54,35,19,999192,378,430,286400
55,28,27,999161,382,457,310900
56,30,19,999134,390,476,342900
57,36,23,999101,400,499,351200
58,35,24,999061,416,523,271100
59,27,23,999033,421,546,323800
60,26,17,999007,430,563,314500
61,37,24,998972,441,587,322800
62,37,26,998936,451,613,341600
63,35,19,998900,468,632,295200
64,53,23,998849,496,655,294200
65,32,24,998813,508,679,290900
66,36,31,998780,510,710,296800
67,31,30,998745,515,740,298100
68,47,21,998707,532,761,269500
69,42,27,998663,549,788,273700
70,35,33,998623,556,821,276300
71,38,35,998587,557,856,271800
72,44,33,998543,568,889,286400
73,47,38,998498,575,927,268000
74,38,27,998459,587,954,286100
75,42,40,998416,590,994,293300
76,29,33,998385,588,1027,309800
77,38,37,998345,591,1064,302800
78,45,39,998307,590,1103,299900
79,31,25,998273,599,1128,289300
80,33,23,998238,611,1151,289500
81,31,20,998207,622,1171,319700
82,36,32,998173,624,1203,311200
83,36,35,998136,626,1238,334500
84,55,36,998084,642,1274,320900
85,37,30,998047,649,1304,311400
86,47,26,997999,671,1330,332200
87,45,20,997952,698,1350,327300
88,49,44,997910,696,1394,318800
89,63,31,997845,730,1425,314500
90,56,39,997787,749,1464,318300
91,56,35,997726,775,1499,325400
92,45,38,997688,775,1537,304300
93,68,40,997621,802,1577,303400
94,63,42,997557,824,1619,292000
95,63,46,997493,842,1665,317900
96,62,46,997433,856,1711,294800
97,56,43,997374,872,1754,331600
98,45,49,997326,871,1803,338300
99,62,46,997275,876,1849,313700
100,66,43,997198,910,1892,317100
101,52,49,997146,913,1941,311500
102,55,42,997094,923,1983,310800
103,56,46,997037,934,2029,287500
104,63,49,996979,943,2078,318600
105,44,58,996933,931,2136,317400
106,57,47,996872,945,2183,316200
107,55,40,996820,957,2223,319200
108,54,52,996764,961,2275,342700
109,51,35,996714,976,2310,306000
110,59,49,996657,984,2359,299100
111,54,43,996599,999,2402,310200
112,69,39,996533,1026,2441,315500
113,60,47,996476,1036,2488,302600
114,61,59,996411,1042,2547,299800
115,68,44,996344,1065,2591,310700
116,72,63,996274,1072,2654,306100
117,77,46,996196,1104,2700,331900
118,75,51,996120,1129,2751,331100
119,76,56,996046,1147,2807,348900
120,68,48,995979,1166,2855,335100
121,62,55,995915,1175,2910,335200
122,68,69,995844,1177,2979,330500
123,73,58,995774,1189,3037,314500
124,78,66,995691,1206,3103,300900
125,78,60,995626,1211,3163,344100
126,89,71,995531,1235,3234,292000
127,68,55,995461,1250,3289,348200
128,69,64,995392,1255,3353,315000
129,76,62,995317,1268,3415,305400
130,81,75,995238,1272,3490,302200
131,86,78,995150,1282,3568,306600
132,97,71,995058,1303,3639,301000
133,99,76,994965,1320,3715,344400
134,80,66,994876,1343,3781,289000
135,88,72,994783,1364,3853,304800
136,74,70,994708,1369,3923,315100
137,86,59,994624,1394,3982,274800
138,91,83,994538,1397,4065,298000
139,80,74,994452,1409,4139,261400
140,97,77,994357,1427,4216,293000
141,73,69,994288,1427,4285,292300
142,105,82,994181,1452,4367,273100
143,76,63,994101,1469,4430,272300
144,103,89,994005,1476,4519,277100
145,78,85,993922,1474,4604,290000
146,83,75,993843,1478,4679,266600
147,81,79,993760,1482,4758,270000
148,95,82,993663,1497,4840,259000
149,94,73,993568,1519,4913,283700
150,86,80,993487,1520,4993,304900
151,90,79,993390,1538,5072,295300
152,99,91,993299,1538,5163,332700
153,89,87,993211,1539,5250,304600
154,102,84,993107,1559,5334,334500
155,93,81,993012,1573,5415,372000
156,91,74,992915,1596,5489,345100
157,88,88,992833,1590,5577,294700
158,82,89,992749,1585,5666,295800
159,99,76,992658,1600,5742,282900
160,85,97,992570,1591,5839,302800
161,92,90,992479,1592,5929,279600
162,108,70,992374,1627,5999,290600
163,107,84,992261,1656,6083,294600
164,105,95,992159,1663,6178,286100
165,104,81,992053,1688,6259,281500
166,101,78,991947,1716,6337,294600
167,126,92,991830,1741,6429,267900
168,96,80,991725,1766,6509,325900
169,128,86,991609,1796,6595,282400
170,111,97,991498,1810,6692,303300
171,130,82,991362,1864,6774,287600
172,109,95,991249,1882,6869,274700
173,97,109,991162,1860,6978,283200
174,97,95,991052,1875,7073,273600
175,99,104,990956,1867,7177,274300
176,95,79,990861,1883,7256,295100
177,102,93,990758,1893,7349,272300
178,99,105,990662,1884,7454,281200
179,111,104,990553,1889,7558,286900
180,93,91,990463,1888,7649,309800
181,144,116,990317,1918,7765,279200
182,110,102,990204,1929,7867,293100
183,118,104,990084,1945,7971,276600
184,108,99,989980,1950,8070,304700
185,115,113,989868,1949,8183,264200
186,112,96,989752,1969,8279,418700
187,118,95,989636,1990,8374,299600
188,138,114,989498,2014,8488,286700
189,119,103,989381,2028,8591,290300
190,147,112,989245,2052,8703,301100
191,130,119,989106,2072,8822,278400
192,134,117,988972,2089,8939,263800
193,117,115,988847,2099,9054,273300
194,133,108,988722,2116,9162,281500
195,95,102,988620,2116,9264,281600
196,125,104,988499,2133,9368,290900
197,125,115,988371,2146,9483,260300
198,126,137,988250,2130,9620,285400
199,130,113,988124,2143,9733,273900
200,133,129,987988,2150,9862,247600
201,121,105,987874,2159,9967,286900
202,118,122,987746,2165,10089,274600
203,141,114,987599,2198,10203,290500
204,105,107,987496,2194,10310,250700
205,125,131,987380,2179,10441,265900
206,114,104,987259,2196,10545,298300
207,121,103,987139,2213,10648,368600
208,135,97,987003,2252,10745,300400
209,136,129,986865,2261,10874,278600
210,112,119,986756,2251,10993,276200
211,125,121,986631,2255,11114,289200
212,131,115,986503,2268,11229,307400
213,150,112,986350,2309,11341,278000
214,128,124,986230,2305,11465,270700
215,132,124,986086,2325,11589,277300
216,155,114,985940,2357,11703,320100
217,141,117,985796,2384,11820,288700
218,152,144,985648,2388,11964,288800
219,139,130,985507,2399,12094,312000
220,125,134,985384,2388,12228,303600
221,145,131,985233,2408,12359,268300
222,134,148,985099,2394,12507,275900
223,148,108,984949,2436,12615,286400
224,141,119,984819,2447,12734,256500
225,152,134,984668,2464,12868,308500
226,153,143,984512,2477,13011,281100
227,135,124,984373,2492,13135,273600
228,147,143,984234,2488,13278,262600
229,166,122,984066,2534,13400,292100
230,116,115,983939,2546,13515,287100
231,134,134,983809,2542,13649,291500
232,137,132,983677,2542,13781,290700
233,161,111,983516,2592,13892,298000
234,126,140,983388,2580,14032,287600
235,182,142,983207,2619,14174,291400
236,145,136,983066,2624,14310,272700
237,153,156,982908,2626,14466,269700
238,155,141,982759,2634,14607,288100
239,136,118,982608,2667,14725,277700
240,138,127,982469,2679,14852,278000
241,160,161,982324,2663,15013,290000
242,147,141,982173,2673,15154,288000
243,139,148,982027,2671,15302,285100
244,146,142,981894,2662,15444,331300
245,146,129,981746,2681,15573,286500
246,153,120,981584,2723,15693,272200
247,155,146,981435,2726,15839,273500
248,131,125,981304,2732,15964,280200
249,158,130,981147,2759,16094,293000
250,165,122,980985,2799,16216,296800
251,149,155,980827,2802,16371,293700
252,177,141,980655,2833,16512,330400
253,175,147,980482,2859,16659,290900
254,170,162,980313,2866,16821,286200
255,168,160,980143,2876,16981,286500
256,168,157,979980,2882,17138,288400
257,166,140,979808,2914,17278,282600
258,144,152,979664,2906,17430,280700
259,147,126,979509,2935,17556,309500
260,185,166,979331,2947,17722,306000
261,180,174,979154,2950,17896,282000
262,133,143,979012,2949,18039,286900
263,165,153,978856,2952,18192,281200
264,174,165,978673,2970,18357,284600
265,174,146,978504,2993,18503,292600
266,193,135,978326,3036,18638,286900
267,155,144,978156,3062,18782,271500
268,184,154,977971,3093,18936,282600
269,171,172,977801,3091,19108,286700
270,156,161,977645,3086,19269,297800
271,153,168,977489,3074,19437,268300
272,171,165,977322,3076,19602,283200
273,181,156,977151,3091,19758,270200
274,161,160,976977,3105,19918,306300
275,179,153,976809,3120,20071,303400
276,150,162,976646,3121,20233,298100
277,172,163,976489,3115,20396,282400
278,183,159,976297,3148,20555,280400
279,206,152,976100,3193,20707,297700
280,195,184,975899,3210,20891,275800
281,180,190,975723,3196,21081,267700
282,180,158,975535,3226,21239,296400
283,170,159,975365,3237,21398,296000
284,167,173,975203,3226,21571,271300
285,182,151,975022,3256,21722,272600
286,186,181,974838,3259,21903,298900
287,159,144,974673,3280,22047,319300
288,169,182,974503,3268,22229,270000
289,181,168,974326,3277,22397,288300
290,191,175,974131,3297,22572,269800
291,182,157,973949,3322,22729,311600
292,153,168,973793,3310,22897,285100
293,165,164,973627,3312,23061,282700
294,167,175,973460,3304,23236,268500
295,169,151,973306,3307,23387,299400
296,176,172,973128,3313,23559,282600
297,174,174,972940,3327,23733,303600
298,187,145,972765,3357,23878,276000
299,179,173,972580,3369,24051,264000
300,177,174,972402,3373,24225,289300
301,179,188,972225,3362,24413,284200
302,180,165,972046,3376,24578,285600
303,202,151,971851,3420,24729,293400
304,165,172,971677,3422,24901,278600
305,177,170,971499,3430,25071,285800
306,181,170,971322,3437,25241,304100
307,172,169,971143,3447,25410,299000
308,182,164,970970,3456,25574,310500
309,186,178,970774,3474,25752,290200
310,175,225,970598,3425,25977,287200
311,172,193,970436,3394,26170,296800
312,189,156,970240,3434,26326,323100
313,176,163,970066,3445,26489,303700
