Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,3,0,999992,8,0,39870000
1,2,0,999990,10,0,9487800
2,2,0,999988,12,0,5708000
3,0,0,999988,12,0,6538300
4,3,0,999985,15,0,1947800
5,8,0,999977,23,0,2386500
6,7,1,999970,29,1,7461300
7,7,1,999963,35,2,7790700
8,4,3,999959,36,5,2277800
9,8,2,999951,42,7,2439500
10,7,3,999944,46,10,2005900
11,10,2,999934,54,12,2120100
12,13,3,999921,64,15,1934000
13,6,5,999915,65,20,1633900
14,8,2,999907,71,22,2005200
15,8,4,999899,75,26,2132300
16,12,3,999887,84,29,1866500
17,12,7,999875,89,36,1682400
18,12,6,999863,95,42,2132900
19,11,3,999852,103,45,1595100
20,12,9,999840,106,54,2053900
21,10,2,999830,114,56,2253900
22,14,5,999816,123,61,2240000
23,17,10,999799,130,71,2406700
24,13,11,999786,132,82,2295400
25,12,13,999774,131,95,1825700
26,17,8,999757,140,103,1758500
27,17,6,999740,151,109,2125200
28,13,7,999727,157,116,1736700
29,17,11,999710,163,127,1917500
30,22,11,999688,174,138,1880500
31,14,14,999674,174,152,1869100
32,20,11,999654,183,163,1829200
33,20,6,999634,197,169,1824700
34,16,19,999618,194,188,1882900
35,20,9,999598,205,197,1804400
36,16,8,999582,213,205,1798500
37,18,6,999564,225,211,1743800
38,16,9,999548,232,220,1766100
39,19,14,999529,237,234,1736500
40,14,11,999515,240,245,1772600
41,18,8,999497,250,253,1796200
42,20,15,999477,255,268,1804000
43,24,8,999453,271,276,2270800
44,28,15,999425,284,291,1738200
45,32,14,999393,302,305,1835900
46,31,18,999362,315,323,1769000
47,32,22,999330,325,345,1708500
48,29,18,999301,336,363,1847100
49,35,13,999266,358,376,1701400
50,26,11,999240,373,387,1982600
51,34,15,999206,392,402,1800400
52,33,21,999173,404,423,1762200
53,32,36,999141,400,459,1685200
54,30,28,999111,402,487,1744600
55,32,21,999079,413,508,1729300
56,35,14,999044,434,522,1675300
57,44,18,999000,460,540,1727600
58,45,17,998955,488,557,1824800
59,29,27,998926,490,584,1662100
60,30,39,998896,481,623,1648100
61,37,28,998859,490,651,1675000
62,45,25,998814,510,676,1714300
63,33,27,998781,516,703,1855200
64,45,27,998736,534,730,1808100
65,45,28,998691,551,758,1888800
66,46,26,998645,571,784,2056100
67,52,23,998593,600,807,1899100
68,42,32,998551,610,839,1815100
69,49,17,998502,642,856,1919400
70,38,33,998464,647,889,1861400
71,42,45,998422,644,934,2189100
72,45,29,998377,660,963,1701600
73,41,45,998336,656,1008,1760900
74,39,30,998297,665,1038,2047200
75,40,45,998257,660,1083,1740300
76,49,39,998208,670,1122,1740000
77,44,36,998164,678,1158,1670700
78,50,27,998114,701,1185,1727000
79,56,36,998058,721,1221,1786000
80,43,42,998015,722,1263,1829500
81,48,43,997967,727,1306,1714900
82,37,39,997930,725,1345,2060300
83,46,41,997884,730,1386,1769100
84,46,35,997838,741,1421,1885600
85,46,33,997792,754,1454,1770600
86,41,35,997751,760,1489,1887500
87,44,39,997707,765,1528,1776300
88,48,47,997659,766,1575,2046500
89,41,35,997618,772,1610,1737700
90,45,36,997573,781,1646,1734600
91,44,48,997529,777,1694,1859100
92,46,41,997483,782,1735,1863600
93,52,37,997431,797,1772,2129200
94,49,43,997382,803,1815,1770200
95,49,35,997333,817,1850,1819100
96,61,60,997272,818,1910,1835500
97,50,39,997222,829,1949,1813800
98,53,41,997169,841,1990,1820700
99,54,55,997115,840,2045,1841300
100,53,45,997062,848,2090,1796900
101,65,38,996997,875,2128,1745600
102,59,36,996938,898,2164,1963700
103,72,39,996866,931,2203,1969900
104,61,35,996805,957,2238,1938900
105,54,43,996751,968,2281,1952100
106,72,48,996679,992,2329,1849500
107,79,53,996600,1018,2382,2004500
108,78,55,996522,1041,2437,1936800
109,67,54,996455,1054,2491,2000600
110,74,40,996381,1088,2531,1900600
111,66,62,996315,1092,2593,1773500
112,82,44,996233,1130,2637,1831600
113,72,64,996161,1138,2701,1818200
114,89,54,996072,1173,2755,1867000
115,83,51,995989,1205,2806,1873600
116,83,66,995906,1222,2872,1855700
117,90,57,995816,1255,2929,1768400
118,76,64,995740,1267,2993,1815300
119,93,72,995647,1288,3065,2167700
120,85,51,995562,1322,3116,1863700
121,84,69,995478,1337,3185,1948600
122,83,76,995395,1344,3261,1920300
123,83,65,995312,1362,3326,1851300
124,89,74,995223,1377,3400,1940200
125,78,75,995145,1380,3475,2095700
126,89,53,995056,1416,3528,1766300
127,84,68,994972,1432,3596,2219800
128,102,84,994870,1450,3680,2136400
129,89,62,994781,1477,3742,1703600
130,91,58,994690,1510,3800,1793200
131,102,84,994588,1528,3884,1700800
132,104,80,994484,1552,3964,1948200
133,112,76,994372,1588,4040,1795000
134,93,82,994279,1599,4122,1730100
135,115,92,994164,1622,4214,1749200
136,99,90,994065,1631,4304,1730500
137,115,64,993950,1682,4368,1695000
138,103,84,993847,1701,4452,1996700
139,111,79,993736,1733,4531,1684300
140,113,93,993623,1753,4624,1713000
141,91,95,993532,1749,4719,1704900
142,109,74,993423,1784,4793,1699600
143,109,89,993314,1804,4882,1764200
144,100,82,993214,1822,4964,1761700
145,118,107,993096,1833,5071,1707900
146,111,92,992985,1852,5163,1723500
147,124,88,992861,1888,5251,2079300
148,113,89,992748,1912,5340,1731900
149,123,83,992625,1952,5423,1746700
150,110,83,992515,1979,5506,16053800
151,128,112,992387,1995,5618,4879400
152,126,104,992261,2017,5722,3563100
153,138,104,992123,2051,5826,4762300
154,128,115,991995,2064,5941,2060700
155,127,102,991868,2089,6043,1965200
156,104,88,991764,2105,6131,1992800
157,138,126,991626,2117,6257,1965500
158,132,115,991494,2134,6372,2272000
