Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,1,0,562494,6,0,1268200
1,3,0,562491,9,0,1234800
2,2,1,562489,10,1,1219900
3,1,1,562488,10,2,1215700
4,3,0,562485,13,2,1691000
5,3,0,562482,16,2,1284000
6,2,1,562480,17,3,1226100
7,1,0,562479,18,3,1219700
8,6,1,562473,23,4,1245600
9,4,0,562469,27,4,1221600
10,9,1,562460,35,5,1214100
11,9,2,562451,42,7,1212700
12,10,1,562441,51,8,1216000
13,7,2,562434,56,10,1219600
14,9,2,562425,63,12,1210200
15,8,1,562417,70,13,1227300
16,12,3,562405,79,16,1258800
17,10,2,562395,87,18,1225500
18,9,1,562386,95,19,1221500
19,11,6,562375,100,25,1230400
20,15,5,562360,110,30,1216700
21,16,5,562344,121,35,1245200
22,9,2,562335,128,37,1232900
23,10,4,562325,134,41,1220500
24,15,9,562310,140,50,1219300
25,9,9,562301,140,59,1213100
26,12,10,562289,142,69,1236200
27,15,12,562274,145,81,1221500
28,16,12,562258,149,93,1215000
29,12,7,562246,154,100,1240200
30,9,13,562237,150,113,1253000
31,16,5,562221,161,118,1221500
32,11,11,562210,161,129,1359100
33,15,10,562195,166,139,1225800
34,15,11,562180,170,150,1221300
35,9,3,562171,176,153,1224700
36,13,5,562158,184,158,1226500
37,16,2,562142,198,160,1245900
38,23,12,562119,209,172,1281300
39,16,16,562103,209,188,1243700
40,17,13,562086,213,201,1231200
41,20,12,562066,221,213,1218400
42,20,15,562046,226,228,1259700
43,23,12,562023,237,240,1243500
44,25,13,561998,249,253,1224200
45,25,11,561973,263,264,1250000
46,20,13,561953,270,277,1221600
47,23,12,561930,281,289,1241500
48,32,14,561898,299,303,1245700
49,21,13,561877,307,316,1275400
50,29,12,561848,324,328,1243900
51,25,16,561823,333,344,1225700
52,34,22,561789,345,366,1263000
53,27,18,561762,354,384,1274400
54,36,16,561726,374,400,1258100
55,27,18,561699,383,418,1320200
56,31,21,561668,393,439,1564100
57,23,20,561645,396,459,1246800
58,30,22,561615,404,481,1233000
59,42,21,561573,425,502,1237500
60,31,9,561542,447,511,1234700
61,30,28,561512,449,539,1227700
62,36,27,561476,458,566,1235600
63,18,15,561458,461,581,1276300
64,32,19,561426,474,600,1261900
65,36,19,561390,491,619,1222900
66,41,23,561349,509,642,1225700
67,44,27,561305,526,669,1234500
68,49,28,561256,547,697,1242300
69,34,24,561222,557,721,1233600
70,48,25,561174,580,746,1256700
71,50,16,561124,614,762,1242200
72,40,35,561084,619,797,1228600
73,45,29,561039,635,826,1234200
74,35,32,561004,638,858,1237000
75,37,24,560967,651,882,1492500
76,59,35,560908,675,917,1380000
77,53,41,560855,687,958,1242300
78,49,30,560806,706,988,1233800
79,61,37,560745,730,1025,1237300
80,55,46,560690,739,1071,1252400
81,56,40,560634,755,1111,1231200
82,50,28,560584,777,1139,1249200
83,61,43,560523,795,1182,1244100
84,52,35,560471,812,1217,1230300
85,60,37,560411,835,1254,1253000
86,52,45,560359,842,1299,1253200
87,62,41,560297,863,1340,1251800
88,50,49,560247,864,1389,1235700
89,69,35,560178,898,1424,1246300
90,62,46,560116,914,1470,1243100
91,60,39,560056,935,1509,1255900
92,48,44,560008,939,1553,1239100
93,59,54,559949,944,1607,1279000
94,64,58,559885,950,1665,1247200
95,64,50,559821,964,1715,1251700
96,65,46,559756,983,1761,1247700
97,48,51,559708,980,1812,1239700
98,68,41,559640,1007,1853,1265900
99,68,47,559572,1028,1900,1245900
100,71,48,559501,1051,1948,1240400
101,70,50,559431,1071,1998,1239300
102,70,48,559361,1093,2046,1257300
103,62,56,559299,1099,2102,1244500
104,69,49,559230,1119,2151,1249800
105,69,47,559161,1141,2198,1238200
106,62,66,559099,1137,2264,1240400
107,63,64,559036,1136,2328,1246100
108,72,61,558964,1147,2389,1237600
109,77,65,558887,1159,2454,1261600
110,80,49,558807,1190,2503,1524100
111,69,58,558738,1201,2561,1257000
112,72,66,558666,1207,2627,1255800
113,80,59,558586,1228,2686,1239400
114,70,62,558516,1236,2748,1261500
115,85,71,558431,1250,2819,1264000
116,67,53,558364,1264,2872,1260900
117,77,52,558287,1289,2924,1248800
118,75,59,558212,1305,2983,1263600
119,79,60,558133,1324,3043,1257000
120,85,75,558048,1334,3118,1251800
121,86,54,557962,1366,3172,1249300
122,96,71,557866,1391,3243,1327500
123,86,74,557780,1403,3317,1272300
124,105,75,557675,1433,3392,1252900
125,93,66,557582,1460,3458,1255500
126,98,73,557484,1485,3531,1248800
127,102,77,557382,1510,3608,1260000
128,90,63,557292,1537,3671,1532700
129,99,83,557193,1553,3754,1264600
130,98,69,557095,1582,3823,1284300
131,95,81,557000,1596,3904,1255600
132,94,97,556906,1593,4001,1252500
133,78,67,556828,1604,4068,1275800
