Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,1,1,1562494,5,1,3311900
1,2,0,1562492,7,1,3295900
2,3,1,1562489,9,2,3010400
3,0,2,1562489,7,4,3011600
4,1,0,1562488,8,4,2982800
5,1,2,1562487,7,6,3401500
6,2,0,1562485,9,6,3077800
7,1,2,1562484,8,8,3024200
8,1,0,1562483,9,8,2982700
9,3,0,1562480,12,8,2984800
10,5,0,1562475,17,8,3038400
11,7,1,1562468,23,9,2858800
12,3,0,1562465,26,9,2962400
13,5,1,1562460,30,10,2900000
14,3,1,1562457,32,11,2849300
15,2,1,1562455,33,12,3120700
16,4,0,1562451,37,12,3045200
17,7,1,1562444,43,13,3072000
18,5,4,1562439,44,17,2907000
19,5,0,1562434,49,17,3093100
20,4,1,1562430,52,18,3249900
21,5,4,1562425,53,22,3054900
22,7,1,1562418,59,23,2954500
23,7,1,1562411,65,24,3237100
24,5,4,1562406,66,28,2930200
25,7,6,1562399,67,34,2923800
26,12,4,1562387,75,38,2835800
27,10,2,1562377,83,40,3278900
28,11,2,1562366,92,42,3285300
29,8,2,1562358,98,44,3278400
30,7,3,1562351,102,47,3329200
31,7,3,1562344,106,50,3090400
32,10,7,1562334,109,57,3088100
33,11,1,1562323,119,58,3088200
34,15,4,1562308,130,62,3832700
35,12,8,1562296,134,70,3279500
36,15,6,1562281,143,76,3158900
37,17,8,1562264,152,84,3225900
38,20,6,1562244,166,90,3137100
39,21,8,1562223,179,98,3182000
40,9,9,1562214,179,107,4570000
41,13,9,1562201,183,116,3290500
42,17,6,1562184,194,122,3186000
43,19,13,1562165,200,135,4093900
44,15,10,1562150,205,145,3317700
45,21,10,1562129,216,155,3361000
46,14,14,1562115,216,169,3348500
47,13,9,1562102,220,178,3869700
48,24,9,1562078,235,187,3499500
49,23,14,1562055,244,201,3277000
50,14,17,1562041,241,218,3192300
51,16,16,1562025,241,234,3766900
52,20,15,1562005,246,249,4240000
53,14,5,1561991,255,254,3661600
54,21,9,1561970,267,263,3082200
55,23,20,1561947,270,283,3240700
56,25,15,1561922,280,298,3355400
57,31,14,1561891,297,312,3297700
58,25,11,1561866,311,323,3179900
59,28,16,1561838,323,339,3124300
60,16,14,1561822,325,353,3111200
61,17,14,1561805,328,367,3187700
62,23,12,1561782,339,379,2990300
63,24,14,1561758,349,393,3146000
64,25,21,1561733,353,414,3296900
65,29,24,1561704,358,438,3207800
66,25,17,1561679,366,455,3807100
67,22,20,1561657,368,475,3544600
68,27,15,1561630,380,490,4359100
69,24,13,1561606,391,503,3282900
70,25,23,1561581,393,526,3412300
71,25,26,1561556,392,552,3493300
72,22,18,1561534,396,570,3092200
73,24,19,1561510,401,589,3264700
74,28,15,1561482,414,604,3463800
75,22,20,1561460,416,624,4288500
76,34,20,1561426,430,644,3535200
77,26,22,1561400,434,666,3176800
78,30,20,1561370,444,686,3416700
79,27,27,1561343,444,713,3720800
80,29,32,1561314,441,745,3390200
81,26,19,1561288,448,764,3093300
82,27,20,1561261,455,784,3272400
83,34,23,1561227,466,807,3174800
84,33,20,1561194,479,827,3156200
85,45,24,1561149,500,851,3439900
86,34,21,1561115,513,872,3188500
87,36,33,1561079,516,905,3094000
88,41,19,1561038,538,924,3718900
89,34,24,1561004,548,948,3270200
90,40,24,1560964,564,972,3165500
91,41,22,1560923,583,994,3015700
92,39,27,1560884,595,1021,3707200
93,42,25,1560842,612,1046,3378700
94,50,29,1560792,633,1075,3198400
95,51,21,1560741,663,1096,3026900
96,45,30,1560696,678,1126,3318200
97,40,29,1560656,689,1155,3556600
98,55,36,1560601,708,1191,3184800
99,42,26,1560559,724,1217,3528500
100,41,46,1560518,719,1263,3351900
101,40,31,1560478,728,1294,3613000
102,35,40,1560443,723,1334,4105100
103,48,39,1560395,732,1373,3193800
104,54,34,1560341,752,1407,3266800
105,41,50,1560300,743,1457,3508900
106,49,44,1560251,748,1501,4533500
107,52,34,1560199,766,1535,3220100
108,48,35,1560151,779,1570,3141500
109,50,43,1560101,786,1613,3722100
110,45,40,1560056,791,1653,3432000
111,59,33,1559997,817,1686,3141800
112,60,47,1559937,830,1733,3134300
113,53,45,1559884,838,1778,3225900
114,59,47,1559825,850,1825,4218000
115,43,44,1559782,849,1869,3522500
116,41,32,1559741,858,1901,3297000
117,48,37,1559693,869,1938,3272100
118,62,32,1559631,899,1970,3564100
119,68,52,1559563,915,2022,3958200
120,49,42,1559514,922,2064,3336000
121,49,40,1559465,931,2104,3182800
122,62,48,1559403,945,2152,3333000
123,54,57,1559349,942,2209,3949200
124,55,44,1559294,953,2253,3530300
125,55,59,1559239,949,2312,3253200
126,57,46,1559182,960,2358,3190800
127,57,40,1559125,977,2398,3596800
128,66,54,1559059,989,2452,3786300
129,49,54,1559010,984,2506,4537300
130,52,55,1558958,981,2561,3298600
131,69,49,1558889,1001,2610,3287200
132,64,61,1558825,1004,2671,3132000
133,73,47,1558752,1030,2718,3081100
134,64,53,1558688,1041,2771,3137600
135,66,51,1558622,1056,2822,2972900
136,68,54,1558554,1070,2876,3767400
137,59,59,1558495,1070,2935,3142200
138,65,55,1558430,1080,2990,3172600
139,76,53,1558354,1103,3043,3216400
140,65,54,1558289,1114,3097,4022800
141,66,71,1558223,1109,3168,3215100
142,57,73,1558166,1093,3241,3774200
143,49,66,1558117,1076,3307,4414400
144,53,43,1558064,1086,3350,3372800
145,70,64,1557994,1092,3414,3245100
146,64,51,1557930,1105,3465,3256100
147,63,45,1557867,1123,3510,3165100
148,69,57,1557798,1135,3567,3316300
149,70,68,1557728,1137,3635,3241600
150,78,65,1557650,1150,3700,2994400
151,67,49,1557583,1168,3749,4765900
152,76,63,1557507,1181,3812,7515200
153,56,66,1557451,1171,3878,6786300
154,63,58,1557388,1176,3936,3456700
155,68,65,1557320,1179,4001,3318000
156,76,54,1557244,1201,4055,3201900
157,76,65,1557168,1212,4120,3049800
158,80,67,1557088,1225,4187,3053500
159,84,53,1557004,1256,4240,3393900
160,80,66,1556924,1270,4306,3009900
161,70,87,1556854,1253,4393,3118400
162,82,53,1556772,1282,4446,3026200
163,74,60,1556698,1296,4506,3044600
164,77,62,1556621,1311,4568,3102300
165,71,75,1556550,1307,4643,3153800
166,73,73,1556477,1307,4716,3208700
167,66,61,1556411,1312,4777,3461500
168,64,75,1556347,1301,4852,3010700
169,71,70,1556276,1302,4922,2834900
170,70,68,1556206,1304,4990,2976500
171,78,62,1556128,1320,5052,2894600
172,69,56,1556059,1333,5108,2924600
173,86,73,1555973,1346,5181,2934700
174,80,73,1555893,1353,5254,2939400
175,57,61,1555836,1349,5315,2906300
176,83,70,1555753,1362,5385,2999400
177,87,69,1555666,1380,5454,3094600
178,83,65,1555583,1398,5519,3048400
179,80,68,1555503,1410,5587,3341900
180,74,71,1555429,1413,5658,3146800
181,93,76,1555336,1430,5734,3229200
182,92,84,1555244,1438,5818,3073400
183,92,75,1555152,1455,5893,2850000
184,81,72,1555071,1464,5965,3212200
185,95,67,1554976,1492,6032,3109200
186,89,71,1554887,1510,6103,2979300
187,92,75,1554795,1527,6178,3281900
188,91,80,1554704,1538,6258,3095900
189,79,83,1554625,1534,6341,3038100
190,93,90,1554532,1537,6431,3057900
191,95,88,1554437,1544,6519,3194200
192,101,75,1554336,1570,6594,2865400
193,100,94,1554236,1576,6688,3285100
194,92,75,1554144,1593,6763,3273600
195,117,63,1554027,1647,6826,3316200
196,108,86,1553919,1669,6912,3146500
197,104,86,1553815,1687,6998,3070900
198,110,98,1553705,1699,7096,3094200
199,117,91,1553588,1725,7187,3172100
200,112,100,1553476,1737,7287,3100600
201,122,91,1553354,1768,7378,3316300
202,115,93,1553239,1790,7471,3019500
203,93,89,1553146,1794,7560,3059100
204,103,78,1553043,1819,7638,2908500
205,100,88,1552943,1831,7726,3302200
206,111,91,1552832,1851,7817,2916900
207,101,93,1552731,1859,7910,2938900
208,114,103,1552617,1870,8013,2947900
209,117,97,1552500,1890,8110,2840800
210,105,80,1552395,1915,8190,2996300
211,110,95,1552285,1930,8285,3321800
212,100,99,1552185,1931,8384,3384400
213,103,93,1552082,1941,8477,3121900
214,110,100,1551972,1951,8577,2982100
215,109,103,1551863,1957,8680,2964100
216,124,88,1551739,1993,8768,3054200
217,122,98,1551617,2017,8866,3046300
218,95,88,1551522,2024,8954,2887800
219,105,98,1551417,2031,9052,2889600
220,108,94,1551309,2045,9146,3140600
221,112,99,1551197,2058,9245,3060300
222,117,105,1551080,2070,9350,3001400
223,121,106,1550959,2085,9456,3625900
224,118,91,1550841,2112,9547,2946900
225,118,129,1550723,2101,9676,3340500
226,111,102,1550612,2110,9778,3177300
227,99,112,1550513,2097,9890,3018100
228,97,107,1550416,2087,9997,3199700
229,98,89,1550318,2096,10086,3080100
230,117,93,1550201,2120,10179,3232600
231,130,108,1550071,2142,10287,3565500
232,108,100,1549963,2150,10387,2901500
233,111,111,1549852,2150,10498,3387900
234,122,106,1549730,2166,10604,2874600
235,116,118,1549614,2164,10722,2852500
236,127,112,1549487,2179,10834,3586500
237,116,108,1549371,2187,10942,3431200
238,120,104,1549251,2203,11046,3025400
239,119,102,1549132,2220,11148,3206100
240,120,104,1549012,2236,11252,2886000
241,113,100,1548899,2249,11352,3508200
242,134,104,1548765,2279,11456,3243700
243,135,130,1548630,2284,11586,2934600
244,104,112,1548526,2276,11698,3107500
245,140,116,1548386,2300,11814,3384000
246,119,99,1548267,2320,11913,3140400
247,135,120,1548132,2335,12033,3200200
248,144,99,1547988,2380,12132,3084900
249,141,135,1547847,2386,12267,3087500
250,114,121,1547733,2379,12388,3161900
251,144,112,1547589,2411,12500,3113200
252,151,123,1547438,2439,12623,3322100
253,126,131,1547312,2434,12754,2945700
254,129,109,1547183,2454,12863,3259300
255,133,113,1547050,2474,12976,3021600
256,139,121,1546911,2492,13097,2994600
257,134,122,1546777,2504,13219,3332300
258,141,156,1546636,2489,13375,3251600
259,139,133,1546497,2495,13508,2930500
260,153,127,1546344,2521,13635,3137000
261,126,128,1546218,2519,13763,2915800
262,149,135,1546069,2533,13898,2967800
263,130,130,1545939,2533,14028,3079300
264,130,145,1545809,2518,14173,3365900
265,158,121,1545651,2555,14294,3231600
266,158,115,1545493,2598,14409,2994200
267,147,147,1545346,2598,14556,3315200
268,170,116,1545176,2652,14672,3298600
269,125,144,1545051,2633,14816,3269700
270,166,151,1544885,2648,14967,3360800
271,156,126,1544729,2678,15093,3055500
272,143,111,1544586,2710,15204,3149300
273,150,130,1544436,2730,15334,3277600
274,161,142,1544275,2749,15476,3318900
275,165,142,1544110,2772,15618,3437500
276,148,152,1543962,2768,15770,3076000
277,145,136,1543817,2777,15906,3092800
278,157,138,1543660,2796,16044,3638900
279,147,155,1543513,2788,16199,2885500
280,137,121,1543376,2804,16320,3217000
281,142,153,1543234,2793,16473,3281900
282,129,124,1543105,2798,16597,3299900
283,166,134,1542939,2830,16731,3330200
284,158,149,1542781,2839,16880,3258000
285,152,122,1542629,2869,17002,3167300
286,136,101,1542493,2904,17103,3052900
287,146,128,1542347,2922,17231,2985100
288,147,142,1542200,2927,17373,2976700
289,151,141,1542049,2937,17514,3317600
290,139,155,1541910,2921,17669,3018300
291,155,154,1541755,2922,17823,3161500
292,145,158,1541610,2909,17981,3197100
293,144,137,1541466,2916,18118,3249700
294,148,113,1541318,2951,18231,3086700
295,153,138,1541165,2966,18369,3165000
296,173,140,1540992,2999,18509,3093900
297,146,160,1540846,2985,18669,2863500
298,170,149,1540676,3006,18818,3235400
299,147,155,1540529,2998,18973,2970500
300,168,158,1540361,3008,19131,2828600
301,170,145,1540191,3033,19276,3162900
302,166,138,1540025,3061,19414,3138900
303,165,139,1539860,3087,19553,3135200
304,154,152,1539706,3089,19705,2870100
305,154,148,1539552,3095,19853,2860600
306,163,138,1539389,3120,19991,3030500
307,158,161,1539231,3117,20152,3058900
308,167,137,1539064,3147,20289,3434600
309,162,146,1538902,3163,20435,3057300
310,134,165,1538768,3132,20600,3207200
311,172,162,1538596,3142,20762,3212000
312,171,150,1538425,3163,20912,3144000
313,178,161,1538247,3180,21073,3137800
314,164,152,1538083,3192,21225,3271200
315,160,143,1537923,3209,21368,3111900
316,147,155,1537776,3201,21523,3007000
317,166,177,1537610,3190,21700,3205900
318,158,151,1537452,3197,21851,3208700
319,166,148,1537286,3215,21999,3109200
320,138,184,1537148,3169,22183,2853300
321,156,153,1536992,3172,22336,3061600
322,182,148,1536810,3206,22484,3064400
323,168,148,1536642,3226,22632,3132400
324,164,167,1536478,3223,22799,3112800
325,154,163,1536324,3214,22962,2960300
326,178,157,1536146,3235,23119,3360700
327,176,175,1535970,3236,23294,3123900
328,178,176,1535792,3238,23470,3199500
329,178,148,1535614,3268,23618,3145500
330,179,169,1535435,3278,23787,3047500
331,170,163,1535265,3285,23950,3088100
332,174,139,1535091,3320,24089,3153200
333,179,175,1534912,3324,24264,3129400
334,173,155,1534739,3342,24419,3020000
335,176,163,1534563,3355,24582,3050300
336,188,188,1534375,3355,24770,2989600
337,175,192,1534200,3338,24962,2973100
338,196,172,1534004,3362,25134,3048500
339,198,155,1533806,3405,25289,2987800
340,174,166,1533632,3413,25455,3076000
341,197,160,1533435,3450,25615,2831000
342,174,203,1533261,3421,25818,3109600
343,165,172,1533096,3414,25990,3059900
344,191,181,1532905,3424,26171,2944900
345,175,181,1532730,3418,26352,3063000
346,177,169,1532553,3426,26521,3064300
347,186,166,1532367,3446,26687,2964600
348,177,195,1532190,3428,26882,2885200
349,201,173,1531989,3456,27055,2917200
350,193,172,1531796,3477,27227,3018800
351,187,175,1531609,3489,27402,3086900
352,195,170,1531414,3514,27572,3070400
353,170,189,1531244,3495,27761,3727200
354,190,174,1531054,3511,27935,3287700
355,179,169,1530875,3521,28104,3165700
356,170,172,1530705,3519,28276,9583700
357,158,157,1530547,3520,28433,7722900
358,192,157,1530355,3555,28590,7960200
359,207,171,1530148,3591,28761,3741100
360,193,180,1529955,3604,28941,3385900
361,189,218,1529766,3575,29159,3474500
362,181,184,1529585,3572,29343,3434000
363,194,169,1529391,3597,29512,3140800
364,171,177,1529220,3591,29689,3286700
365,194,174,1529026,3611,29863,3135300
366,189,174,1528837,3626,30037,3528200
367,173,186,1528664,3613,30223,3299900
368,190,179,1528474,3624,30402,9542600
369,206,183,1528268,3647,30585,3689500
370,198,207,1528070,3638,30792,3700000
371,209,203,1527861,3644,30995,3711700
372,187,176,1527674,3655,31171,3723600
373,207,160,1527467,3702,31331,3301800
374,225,185,1527242,3742,31516,3502800
375,219,189,1527023,3772,31705,3331400
376,191,176,1526832,3787,31881,3127200
377,221,177,1526611,3831,32058,3089800
378,205,204,1526406,3832,32262,3215000
379,196,217,1526210,3811,32479,3290800
380,196,187,1526014,3820,32666,3540300
381,190,167,1525824,3843,32833,3093100
382,197,190,1525627,3850,33023,3569500
383,180,203,1525447,3827,33226,3413800
384,183,207,1525264,3803,33433,3237500
385,201,189,1525063,3815,33622,3124200
386,212,184,1524851,3843,33806,3691300
387,189,181,1524662,3851,33987,3305600
388,200,176,1524462,3875,34163,3262400
389,175,208,1524287,3842,34371,3266900
390,185,175,1524102,3852,34546,3375800
391,199,195,1523903,3856,34741,3130100
392,199,188,1523704,3867,34929,3377000
393,213,216,1523491,3864,35145,2970400
394,204,218,1523287,3850,35363,2813000
395,203,196,1523084,3857,35559,3179400
396,193,204,1522891,3846,35763,2831300
397,184,209,1522707,3821,35972,3466400
398,176,184,1522531,3813,36156,2892800
399,190,187,1522341,3816,36343,2931800
400,163,176,1522178,3803,36519,3392200
401,186,172,1521992,3817,36691,3102900
402,168,205,1521824,3780,36896,3145200
403,161,198,1521663,3743,37094,3701800
404,196,197,1521467,3742,37291,3130800
405,196,200,1521271,3738,37491,2926700
406,198,168,1521073,3768,37659,2878100
407,179,190,1520894,3757,37849,2889800
408,185,211,1520709,3731,38060,3017800
409,174,166,1520535,3739,38226,3181700
410,214,199,1520321,3754,38425,3323200
