Generation,Solver,Run,Width,Height,InitInfected,InfProb,RecProb,Seed,Ticks,TotalTimeNs,AvgStepNs,MaxStepNs,MinStepNs
gen1,CompletableFuture_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,Random,4663,9153362600,1962977,40888800,1358000
gen1,CompletableFuture_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,Random,4598,8860386500,1927008,8874000,1653600
gen1,CompletableFuture_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,Random,3601,6947332800,1929278,11652400,1622400
gen1,CompletableFuture_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,Random,3696,7471528400,2021517,13941000,1650100
gen1,CompletableFuture_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,Random,3611,8658460600,2397801,27579700,1622600
gen10,CompletableFuture_Grid_SIR_Solver,1,1500,1500,5,0.10000,0.05000,123456789,5840,27812833600,4762471,38257800,4206500
gen10,CompletableFuture_Grid_SIR_Solver,2,1500,1500,5,0.10000,0.05000,123456789,5840,28177648600,4824939,24385700,4143000
gen10,CompletableFuture_Grid_SIR_Solver,3,1500,1500,5,0.10000,0.05000,123456789,5840,28727760300,4919137,18393800,4137300
gen10,CompletableFuture_Grid_SIR_Solver,4,1500,1500,5,0.10000,0.05000,123456789,5840,29442167500,5041467,23213300,4278000
gen10,CompletableFuture_Grid_SIR_Solver,5,1500,1500,5,0.10000,0.05000,123456789,5840,29861665100,5113298,22011400,4177000
gen11,CompletableFuture_Grid_SIR_Solver,1,3000,3000,5,0.10000,0.05000,123456789,10838,217957133300,20110457,107054600,15875200
gen11,CompletableFuture_Grid_SIR_Solver,2,3000,3000,5,0.10000,0.05000,123456789,10838,213743139800,19721640,79024400,18416000
gen2,CompletableFuture_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,Random,3480,6836221500,1964431,43840300,1501800
gen2,CompletableFuture_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,Random,4263,7986395700,1873421,8050300,1622700
gen2,CompletableFuture_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,Random,4131,7983996200,1932703,11083600,1640900
gen2,CompletableFuture_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,Random,3569,6950791100,1947545,15210500,1647400
gen2,CompletableFuture_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,Random,3581,6894301800,1925244,11284900,1630700
gen3,CompletableFuture_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,123456789,2989,6276498800,2099865,48600600,1410400
gen3,CompletableFuture_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,123456789,2989,5885640200,1969100,10673800,1609500
gen3,CompletableFuture_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,123456789,2989,5891451500,1971044,12140000,1646400
