Generation,Solver,Run,Width,Height,InitInfected,InfProb,RecProb,Seed,Ticks,TotalTimeNs,AvgStepNs,MaxStepNs,MinStepNs
gen1,ForkJoin_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,Random,4795,1779428300,371100,32724300,276900
gen1,ForkJoin_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,Random,3251,1205681000,370864,11861300,281900
gen1,ForkJoin_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,Random,3277,1217627700,371567,18129800,230000
gen1,ForkJoin_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,Random,3358,1213243900,361299,17224500,260400
gen1,ForkJoin_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,Random,4329,1613942200,372821,16557000,247600
gen10,ForkJoin_Grid_SIR_Solver,1,1500,1500,5,0.10000,0.05000,123456789,5380,6685753100,1242705,51467400,934100
gen10,ForkJoin_Grid_SIR_Solver,2,1500,1500,5,0.10000,0.05000,123456789,5317,6273811100,1179953,22204900,945200
gen10,ForkJoin_Grid_SIR_Solver,3,1500,1500,5,0.10000,0.05000,123456789,5380,6439213100,1196879,21109700,893800
gen10,ForkJoin_Grid_SIR_Solver,4,1500,1500,5,0.10000,0.05000,123456789,5315,5384263100,1013031,19159300,845200
gen10,ForkJoin_Grid_SIR_Solver,5,1500,1500,5,0.10000,0.05000,123456789,5285,6683787600,1264671,22090200,857300
gen11,ForkJoin_Grid_SIR_Solver,1,3000,3000,5,0.10000,0.05000,123456789,9783,61291713900,6265124,61050800,5268300
gen11,ForkJoin_Grid_SIR_Solver,2,3000,3000,5,0.10000,0.05000,123456789,9864,61162851500,6200613,86874600,5367500
gen2,ForkJoin_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,Random,3657,1402380100,383478,27280400,272200
gen2,ForkJoin_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,Random,2792,1134344300,406283,4048300,289000
gen2,ForkJoin_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,Random,4132,1666562300,403330,20094700,271100
gen2,ForkJoin_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,Random,4134,1552271400,375488,9154900,239500
gen2,ForkJoin_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,Random,2777,1104528800,397741,18965000,227300
gen3,ForkJoin_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,123456789,2799,1589355400,567829,49728900,286400
gen3,ForkJoin_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,123456789,2799,1167710400,417188,26705100,284700
gen3,ForkJoin_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,123456789,2799,1115068700,398381,19839600,269100
gen3,ForkJoin_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,123456789,2799,982055800,350859,9650800,252100
gen3,ForkJoin_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,123456789,2799,942416800,336697,14211200,234300
gen4,ForkJoin_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,123456789,2799,1416908700,506219,35567500,282900
gen4,ForkJoin_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,123456789,2799,935405900,334192,1308900,245400
gen4,ForkJoin_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,123456789,2799,1036645500,370362,19525100,271900
gen4,ForkJoin_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,123456789,2884,1105810100,383429,1288200,260800
gen4,ForkJoin_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,123456789,2799,1021384100,364910,15301300,237900
gen5,ForkJoin_Grid_SIR_Solver,1,2000,2000,5,0.10000,0.05000,123456789,6889,16444267800,2387032,52600900,1996400
gen5,ForkJoin_Grid_SIR_Solver,2,2000,2000,5,0.10000,0.05000,123456789,7026,17409760700,2477905,43833100,2035800
gen5,ForkJoin_Grid_SIR_Solver,3,2000,2000,5,0.10000,0.05000,123456789,7026,17786514900,2531527,69359400,2008200
gen5,ForkJoin_Grid_SIR_Solver,4,2000,2000,5,0.10000,0.05000,123456789,6964,16932455400,2431426,37954300,2013200
gen5,ForkJoin_Grid_SIR_Solver,5,2000,2000,5,0.10000,0.05000,123456789,6944,16823798100,2422781,38842700,2038500
gen6,ForkJoin_Grid_SIR_Solver,1,500,500,5,0.10000,0.05000,123456789,2028,522013400,257403,9831000,96200
gen6,ForkJoin_Grid_SIR_Solver,2,500,500,5,0.10000,0.05000,123456789,2013,299018200,148543,8737500,89300
gen6,ForkJoin_Grid_SIR_Solver,3,500,500,5,0.10000,0.05000,123456789,2091,258230600,123496,907800,72800
gen6,ForkJoin_Grid_SIR_Solver,4,500,500,5,0.10000,0.05000,123456789,1969,252360200,128166,832800,82200
gen6,ForkJoin_Grid_SIR_Solver,5,500,500,5,0.10000,0.05000,123456789,2033,257594300,126706,3174000,90300
gen7,ForkJoin_Grid_SIR_Solver,1,250,250,5,0.10000,0.05000,123456789,1197,256903600,214622,2893500,48600
gen7,ForkJoin_Grid_SIR_Solver,2,250,250,5,0.10000,0.05000,123456789,1230,157561200,128098,2470000,44400
gen7,ForkJoin_Grid_SIR_Solver,3,250,250,5,0.10000,0.05000,123456789,1230,89899100,73088,656700,40700
gen7,ForkJoin_Grid_SIR_Solver,4,250,250,5,0.10000,0.05000,123456789,1230,88858600,72242,738600,41900
gen7,ForkJoin_Grid_SIR_Solver,5,250,250,5,0.10000,0.05000,123456789,1230,85459900,69479,635300,38600
