Generation,Solver,Run,Width,Height,InitInfected,InfProb,RecProb,Seed,Ticks,TotalTimeNs,AvgStepNs,MaxStepNs,MinStepNs
gen1,Simple_Parallel_Grid_SIR_Solver_12_threads_,1,1000,1000,5,0.10000,0.05000,Random,3609,6963041700,1929354,39870000,1595100
gen1,Simple_Parallel_Grid_SIR_Solver_12_threads_,2,1000,1000,5,0.10000,0.05000,Random,3654,7205276300,1971887,44950800,1611800
gen1,Simple_Parallel_Grid_SIR_Solver_12_threads_,3,1000,1000,5,0.10000,0.05000,Random,3530,6494493500,1839799,11356900,1590900
gen1,Simple_Parallel_Grid_SIR_Solver_12_threads_,4,1000,1000,5,0.10000,0.05000,Random,3627,6922636100,1908639,15653200,1579500
gen1,Simple_Parallel_Grid_SIR_Solver_12_threads_,5,1000,1000,5,0.10000,0.05000,Random,4869,8872225000,1822186,18981900,1570200
gen10,Simple_Parallel_Grid_SIR_Solver_12_threads_,1,1500,1500,5,0.10000,0.05000,123456789,5904,27777888700,4704926,55023100,4062600
gen10,Simple_Parallel_Grid_SIR_Solver_12_threads_,2,1500,1500,5,0.10000,0.05000,123456789,6034,28205116700,4674364,38988300,4135800
gen10,Simple_Parallel_Grid_SIR_Solver_12_threads_,3,1500,1500,5,0.10000,0.05000,123456789,6040,27368386400,4531189,6019500,4086100
gen10,Simple_Parallel_Grid_SIR_Solver_12_threads_,4,1500,1500,5,0.10000,0.05000,123456789,5931,27969580300,4715828,24792000,4109400
gen10,Simple_Parallel_Grid_SIR_Solver_12_threads_,5,1500,1500,5,0.10000,0.05000,123456789,5906,26909917100,4556369,8853800,4012600
gen11,Simple_Parallel_Grid_SIR_Solver_12_threads_,1,3000,3000,5,0.10000,0.05000,123456789,10763,205747996000,19116231,231247200,15019600
gen11,Simple_Parallel_Grid_SIR_Solver_12_threads_,2,3000,3000,5,0.10000,0.05000,123456789,10796,204210659000,18915400,46727200,17781600
gen2,Simple_Parallel_Grid_SIR_Solver_12_threads_,1,1000,1000,5,0.10000,0.05000,Random,3492,6528164100,1869462,42252200,1566600
gen2,Simple_Parallel_Grid_SIR_Solver_12_threads_,2,1000,1000,5,0.10000,0.05000,Random,4178,7706699300,1844590,15921500,1583700
gen2,Simple_Parallel_Grid_SIR_Solver_12_threads_,3,1000,1000,5,0.10000,0.05000,Random,4582,8496274600,1854272,12893300,1606000
